Distancia,Run,MesmoCanal,FlowId,Origem,Destino,PacotesEnviados,PacotesRecebidos,PacotesPerdidos,TaxaPerda,ThroughputMbps,AtrasoMedioMs
3,10,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0696,0.000675449
3,10,1,1,192.168.1.1,192.168.1.2,40000,37280,2720,6.8,29.3613,1.45241
3,10,1,2,192.168.2.1,192.168.2.2,40000,37295,2705,6.7625,29.2113,1.49307
5,1,0,1,192.168.1.1,192.168.1.2,40000,39967,33,0.0825,42.0432,0.000678764
5,1,0,2,192.168.2.1,192.168.2.2,40000,39997,3,0.0075,42.0749,0.000675959
5,1,1,1,192.168.1.1,192.168.1.2,40000,37554,2446,6.115,31.0733,1.25106
5,1,1,2,192.168.2.1,192.168.2.2,40000,37718,2282,5.705,31.6461,1.12419
5,2,0,1,192.168.1.1,192.168.1.2,40000,39983,17,0.0425,42.0599,0.000675727
5,2,0,2,192.168.2.1,192.168.2.2,40000,39983,17,0.0425,42.0591,0.00067976
5,2,1,1,192.168.1.1,192.168.1.2,40000,37721,2279,5.6975,31.4497,1.13245
5,2,1,2,192.168.2.1,192.168.2.2,40000,37535,2465,6.1625,31.0783,1.22431
5,3,0,1,192.168.1.1,192.168.1.2,40000,39962,38,0.095,42.0342,0.000678985
5,3,0,2,192.168.2.1,192.168.2.2,40000,39968,32,0.08,42.0445,0.00067963
5,3,1,1,192.168.1.1,192.168.1.2,40000,37546,2454,6.135,31.0372,1.2146
5,3,1,2,192.168.2.1,192.168.2.2,40000,37769,2231,5.5775,31.7383,1.10575
5,4,0,1,192.168.1.1,192.168.1.2,40000,39978,22,0.055,42.054,0.000679774
5,4,0,2,192.168.2.1,192.168.2.2,40000,39993,7,0.0175,42.0704,0.000677551
5,4,1,1,192.168.1.1,192.168.1.2,40000,37719,2281,5.7025,31.583,1.09288
5,4,1,2,192.168.2.1,192.168.2.2,40000,37642,2358,5.895,31.247,1.17083
5,5,0,1,192.168.1.1,192.168.1.2,40000,39951,49,0.1225,42.0233,0.000681018
5,5,0,2,192.168.2.1,192.168.2.2,40000,39987,13,0.0325,42.0642,0.000680254
5,5,1,1,192.168.1.1,192.168.1.2,40000,37578,2422,6.055,31.0864,1.14617
5,5,1,2,192.168.2.1,192.168.2.2,40000,37615,2385,5.9625,31.125,1.21071
5,6,0,1,192.168.1.1,192.168.1.2,40000,39972,28,0.07,42.0431,0.000679522
5,6,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0697,0.000681417
5,6,1,1,192.168.1.1,192.168.1.2,40000,37716,2284,5.71,31.8049,1.05265
5,6,1,2,192.168.2.1,192.168.2.2,40000,37597,2403,6.0075,31.1464,1.29745
5,7,0,1,192.168.1.1,192.168.1.2,40000,39993,7,0.0175,42.0704,0.000678184
5,7,0,2,192.168.2.1,192.168.2.2,40000,39978,22,0.055,42.055,0.000677009
5,7,1,1,192.168.1.1,192.168.1.2,40000,37684,2316,5.79,31.4191,1.08631
5,7,1,2,192.168.2.1,192.168.2.2,40000,37618,2382,5.955,31.3706,1.19124
5,8,0,1,192.168.1.1,192.168.1.2,40000,39973,27,0.0675,42.0494,0.000679444
5,8,0,2,192.168.2.1,192.168.2.2,40000,39962,38,0.095,42.0374,0.000678519
5,8,1,1,192.168.1.1,192.168.1.2,40000,37635,2365,5.9125,31.4174,1.17863
5,8,1,2,192.168.2.1,192.168.2.2,40000,37617,2383,5.9575,31.1186,1.19482
5,9,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.064,0.000679376
5,9,0,2,192.168.2.1,192.168.2.2,40000,39953,47,0.1175,42.0287,0.000678096
5,9,1,1,192.168.1.1,192.168.1.2,40000,37573,2427,6.0675,30.9677,1.27729
5,9,1,2,192.168.2.1,192.168.2.2,40000,37693,2307,5.7675,31.8075,1.12674
5,10,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.0648,0.000679354
5,10,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0696,0.000675449
5,10,1,1,192.168.1.1,192.168.1.2,40000,37663,2337,5.8425,31.4268,1.12126
5,10,1,2,192.168.2.1,192.168.2.2,40000,37589,2411,6.0275,31.0812,1.23882
7,1,0,1,192.168.1.1,192.168.1.2,40000,39967,33,0.0825,42.0432,0.000678764
7,1,0,2,192.168.2.1,192.168.2.2,40000,39997,3,0.0075,42.0749,0.000675959
7,1,1,1,192.168.1.1,192.168.1.2,40000,37554,2446,6.115,31.0733,1.25106
7,1,1,2,192.168.2.1,192.168.2.2,40000,37718,2282,5.705,31.6461,1.12419
7,2,0,1,192.168.1.1,192.168.1.2,40000,39983,17,0.0425,42.0599,0.000675727
7,2,0,2,192.168.2.1,192.168.2.2,40000,39983,17,0.0425,42.0591,0.00067976
7,2,1,1,192.168.1.1,192.168.1.2,40000,37721,2279,5.6975,31.4497,1.13245
7,2,1,2,192.168.2.1,192.168.2.2,40000,37535,2465,6.1625,31.0782,1.22431
7,3,0,1,192.168.1.1,192.168.1.2,40000,39962,38,0.095,42.0342,0.000678985
7,3,0,2,192.168.2.1,192.168.2.2,40000,39968,32,0.08,42.0445,0.00067963
7,3,1,1,192.168.1.1,192.168.1.2,40000,37546,2454,6.135,31.0372,1.2146
7,3,1,2,192.168.2.1,192.168.2.2,40000,37769,2231,5.5775,31.7383,1.10575
7,4,0,1,192.168.1.1,192.168.1.2,40000,39978,22,0.055,42.054,0.000679774
7,4,0,2,192.168.2.1,192.168.2.2,40000,39993,7,0.0175,42.0704,0.000677551
7,4,1,1,192.168.1.1,192.168.1.2,40000,37719,2281,5.7025,31.583,1.09288
7,4,1,2,192.168.2.1,192.168.2.2,40000,37642,2358,5.895,31.247,1.17083
7,5,0,1,192.168.1.1,192.168.1.2,40000,39951,49,0.1225,42.0233,0.000681018
7,5,0,2,192.168.2.1,192.168.2.2,40000,39987,13,0.0325,42.0642,0.000680254
7,5,1,1,192.168.1.1,192.168.1.2,40000,37578,2422,6.055,31.0864,1.14617
7,5,1,2,192.168.2.1,192.168.2.2,40000,37615,2385,5.9625,31.1249,1.21072
7,6,0,1,192.168.1.1,192.168.1.2,40000,39972,28,0.07,42.0431,0.000679522
7,6,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0697,0.000681417
7,6,1,1,192.168.1.1,192.168.1.2,40000,37716,2284,5.71,31.8049,1.05266
7,6,1,2,192.168.2.1,192.168.2.2,40000,37597,2403,6.0075,31.1417,1.29745
7,7,0,1,192.168.1.1,192.168.1.2,40000,39993,7,0.0175,42.0704,0.000678184
7,7,0,2,192.168.2.1,192.168.2.2,40000,39978,22,0.055,42.055,0.000677009
7,7,1,1,192.168.1.1,192.168.1.2,40000,37674,2326,5.815,31.3922,1.06336
7,7,1,2,192.168.2.1,192.168.2.2,40000,37595,2405,6.0125,31.2833,1.19243
7,8,0,1,192.168.1.1,192.168.1.2,40000,39973,27,0.0675,42.0494,0.000679444
7,8,0,2,192.168.2.1,192.168.2.2,40000,39962,38,0.095,42.0374,0.000678519
7,8,1,1,192.168.1.1,192.168.1.2,40000,37635,2365,5.9125,31.4127,1.17868
7,8,1,2,192.168.2.1,192.168.2.2,40000,37616,2384,5.96,31.109,1.19487
7,9,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.064,0.000679376
7,9,0,2,192.168.2.1,192.168.2.2,40000,39953,47,0.1175,42.0287,0.000678096
7,9,1,1,192.168.1.1,192.168.1.2,40000,37573,2427,6.0675,30.9677,1.27729
7,9,1,2,192.168.2.1,192.168.2.2,40000,37693,2307,5.7675,31.8075,1.12674
7,10,0,1,192.168.1.1,192.168.1.2,40000,39987,13,0.0325,42.0648,0.000679354
7,10,0,2,192.168.2.1,192.168.2.2,40000,39992,8,0.02,42.0696,0.000675449
7,10,1,1,192.168.1.1,192.168.1.2,40000,37663,2337,5.8425,31.4268,1.12127
7,10,1,2,192.168.2.1,192.168.2.2,40000,37589,2411,6.0275,31.0812,1.23883
10,1,0,1,192.168.1.1,192.168.1.2,40000,39967,33,0.0825,42.0432,0.000678764
10,1,0,2,192.168.2.1,192.168.2.2,40000,39997,3,0.0075,42.0749,0.000675959
10,1,1,1,192.168.1.1,192.168.1.2,40000,37553,2447,6.1175,31.0683,1.25225
10,1,1,2,192.168.2.1,192.168.2.2,40000,37718,2282,5.705,31.6414,1.12537
10,2,0,1,192.168.1.1,192.168.1.2,40000,39983,17,0.0425,42.0599,0.000675727
10,2,0,2,192.168.2.1,192.168.2.2,40000,39983,17,0.0425,42.0591,0.00067976
10,2,1,1,192.168.1.1,192.168.1.2,40000,37703,2297,5.7425,31.2701,1.14814
10,2,1,2,192.168.2.1,192.168.2.2,40000,37521,2479,6.1975,30.9622,1.22986
10,3,0,1,192.168.1.1,192.168.1.2,40000,39962,38,0.095,42.0342,0.000678985
10,3,0,2,192.168.2.1,192.168.2.2,40000,39968,32,0.08,42.0445,0.00067963
10,3,1,1,192.168.1.1,192.168.1.2,40000,37546,2454,6.135,31.0372,1.21461
10,3,1,2,192.168.2.1,192.168.2.2,40000,37769,2231,5.5775,31.7382,1.10576
10,4,0,1,192.168.1.1,192.168.1.2,40000,39978,22,0.055,42.054,0.000679774
10,4,0,2,192.168.2.1,192.168.2.2,40000,39993,7,0.0175,42.0704,0.000677551
10,4,1,1,192.168.1.1,192.168.1.2,40000,37719,2281,5.7025,31.583,1.09288
10,4,1,2,192.168.2.1,192.168.2.2,40000,37642,2358,5.895,31.2469,1.17084
10,5,0,1,192.168.1.1,192.168.1.2,40000,39951,49,0.1225,42.0233,0.000681018
10,5,0,2,192.168.2.1,192.168.2.2,40000,39987,13,0.0325,42.0642,0.000680254
10,5,1,1,192.168.1.1,192.168.1.2,40000,37583,2417,6.0425,31.1848,1.14481
10,5,1,2,192.168.2.1,192.168.2.2,40000,37642,2358,5.895,31.323,1.18123
